         861776 function calls (861626 primitive calls) in 0.492 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/1    0.000    0.000    0.492    0.492 {built-in method builtins.exec}
        1    0.003    0.003    0.492    0.492 main.py:2(<module>)
        1    0.009    0.009    0.483    0.483 main.py:129(main)
     2437    0.013    0.000    0.384    0.000 main.py:108(operate_range)
     4874    0.020    0.000    0.208    0.000 main.py:83(propagate_above)
    76586    0.120    0.000    0.188    0.000 main.py:77(propagate_at)
     4874    0.057    0.000    0.157    0.000 main.py:71(eval_above)
   143424    0.055    0.000    0.089    0.000 main.py:68(eval_at)
        1    0.053    0.053    0.059    0.059 main.py:42(__init__)
   169470    0.055    0.000    0.055    0.000 main.py:136(A_func)
   220010    0.052    0.000    0.052    0.000 main.py:141(operate)
    19874    0.006    0.000    0.031    0.000 random.py:244(randint)
    19874    0.011    0.000    0.024    0.000 random.py:200(randrange)
   121711    0.018    0.000    0.018    0.000 main.py:133(X_func)
    19874    0.009    0.000    0.013    0.000 random.py:250(_randbelow_with_getrandbits)
     15/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
     15/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     12/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
      7/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:777(exec_module)
     19/6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    28402    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.003    0.003 fractions.py:4(<module>)
    12/10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
    24749    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
        5    0.001    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.001    0.001 re.py:248(compile)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 re.py:287(_compile)
        1    0.000    0.000    0.001    0.001 sre_compile.py:759(compile)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.001    0.001 sre_parse.py:937(parse)
     11/1    0.000    0.000    0.001    0.001 sre_parse.py:435(_parse_sub)
     13/1    0.000    0.000    0.001    0.001 sre_parse.py:493(_parse)
       70    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       70    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
      513    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      2/1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        7    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     22/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
      568    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        7    0.000    0.000    0.000    0.000 abc.py:84(__new__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
